index_date,luse_index
2018-01-01,5327.58
2018-01-02,5327.58
2018-01-03,5343.61
2018-01-04,5331.58
2018-01-05,5331.58
2018-01-06,5331.58
2018-01-07,5331.58
2018-01-08,5331.58
2018-01-09,5291.69
2018-01-10,5273.64
2018-01-11,5265.95
2018-01-12,5312.83
2018-01-13,5312.83
2018-01-14,5312.83
2018-01-15,5297.21
2018-01-16,5316.74
2018-01-17,5316.74
2018-01-18,5316.74
2018-01-19,5309.36
2018-01-20,5309.36
2018-01-21,5309.36
2018-01-22,5313.43
2018-01-23,5313.43
2018-01-24,5313.87
2018-01-25,5329.99
2018-01-26,5582.63
2018-01-27,5582.63
2018-01-28,5582.63
2018-01-29,5329.99
2018-01-30,5320.16
2018-01-31,5326.77
2018-02-01,5310.74
2018-02-02,5339.99
2018-02-03,5339.99
2018-02-04,5339.99
2018-02-05,5480.65
2018-02-06,5543.15
2018-02-07,5590.05
2018-02-08,5590.03
2018-02-09,5590.03
2018-02-10,5590.03
2018-02-11,5590.03
2018-02-12,5582.63
2018-02-13,5574.61
2018-02-14,5562.59
2018-02-15,5570.61
2018-02-16,5570.61
2018-02-17,5570.61
2018-02-18,5570.61
2018-02-19,5582.63
2018-02-20,5582.63
2018-02-21,5582.63
2018-02-22,5582.63
2018-02-23,5582.63
2018-02-24,5582.63
2018-02-25,5582.63
2018-02-26,5582.63
2018-02-27,5586.64
2018-02-28,5586.64
2018-03-01,5586.64
2018-03-02,5586.64
2018-03-03,5586.64
2018-03-04,5586.64
2018-03-05,5586.64
2018-03-06,5586.64
2018-03-07,5586.64
2018-03-08,5586.64
2018-03-09,5586.64
2018-03-10,5586.64
2018-03-11,5586.64
2018-03-12,5586.64
2018-03-13,5586.64
2018-03-14,5586.64
2018-03-15,5586.64
2018-03-16,5586.64
2018-03-17,5586.64
2018-03-18,5586.64
2018-03-19,5586.64
2018-03-20,5586.64
2018-03-21,5590.11
2018-03-22,5607.74
2018-03-23,5607.74
2018-03-24,5607.74
2018-03-25,5607.74
2018-03-26,5607.74
2018-03-27,5590.49
2018-03-28,5594.5
2018-03-29,5548.02
2018-03-30,5548.02
2018-03-31,5548.02
2018-04-01,5548.02
2018-04-02,5548.02
2018-04-03,5548.02
2018-04-04,5586.95
2018-04-05,5587.09
2018-04-06,5587.09
2018-04-07,5587.09
2018-04-08,5587.09
2018-04-09,5587.09
2018-04-10,5543.43
2018-04-11,5566.87
2018-04-12,5566.87
2018-04-13,5566.87
2018-04-14,5566.87
2018-04-15,5566.87
2018-04-16,5573.48
2018-04-17,5573.48
2018-04-18,5573.48
2018-04-19,5571.34
2018-04-20,5571.34
2018-04-21,5571.34
2018-04-22,5571.34
2018-04-23,5572.94
2018-04-24,5572.94
2018-04-25,5572.94
2018-04-26,5581.19
2018-04-27,5582.09
2018-04-28,5582.09
2018-04-29,5582.09
2018-04-30,5582.09
2018-05-01,5582.09
2018-05-02,5573.64
2018-05-03,5573.64
2018-05-04,5570.17
2018-05-05,5570.17
2018-05-06,5570.17
2018-05-07,5573.64
2018-05-08,5570.17
2018-05-09,5567.23
2018-05-10,5559.32
2018-05-11,5556.86
2018-05-12,5556.86
2018-05-13,5556.86
2018-05-14,5556.86
2018-05-15,5556.86
2018-05-16,5557.62
2018-05-17,5557.62
2018-05-18,5557.62
2018-05-19,5557.62
2018-05-20,5557.62
2018-05-21,5558.81
2018-05-22,5558.81
2018-05-23,5556.28
2018-05-24,5564.56
2018-05-25,5564.56
2018-05-26,5564.56
2018-05-27,5564.56
2018-05-28,5564.56
2018-05-29,5560.65
2018-05-30,5549.25
2018-05-31,5549.25
2018-06-01,5548.71
2018-06-02,5548.71
2018-06-03,5548.71
2018-06-04,5550.11
2018-06-05,5538.09
2018-06-06,5530.71
2018-06-07,5530.71
2018-06-08,5521.0
2018-06-09,5521.0
2018-06-10,5521.0
2018-06-11,5516.95
2018-06-12,5516.95
2018-06-13,5509.14
2018-06-14,5509.14
2018-06-15,5505.23
2018-06-16,5511.47
2018-06-17,5490.89
2018-06-18,5483.51
2018-06-19,5465.78
2018-06-20,5465.78
2018-06-21,5465.78
2018-06-22,5465.78
2018-06-23,5462.31
2018-06-24,5464.71
2018-06-25,5464.71
2018-06-26,5455.83
2018-06-27,5455.83
2018-06-28,5455.83
2018-06-29,5455.83
2018-06-30,5455.83
2018-07-01,5455.83
2018-07-02,5455.83
2018-07-03,5455.83
2018-07-04,5462.77
2018-07-05,5455.83
2018-07-06,5455.83
2018-07-07,5455.83
2018-07-08,5455.83
2018-07-09,5455.83
2018-07-10,5455.83
2018-07-11,5455.39
2018-07-12,5451.38
2018-07-13,5451.38
2018-07-14,5451.38
2018-07-15,5451.38
2018-07-16,5447.91
2018-07-17,5447.91
2018-07-18,5447.91
2018-07-19,5533.65
2018-07-20,5529.64
2018-07-21,5529.64
2018-07-22,5529.64
2018-07-23,5529.64
2018-07-24,5486.66
2018-07-25,5471.16
2018-07-26,5471.16
2018-07-27,5471.16
2018-07-28,5471.16
2018-07-29,5471.16
2018-07-30,5467.25
2018-07-31,5451.62
2018-08-01,5451.62
2018-08-02,5448.15
2018-08-03,5448.15
2018-08-04,5448.15
2018-08-05,5448.15
2018-08-06,5448.15
2018-08-07,5445.26
2018-08-08,5445.26
2018-08-09,5409.15
2018-08-10,5373.99
2018-08-11,5373.99
2018-08-12,5373.99
2018-08-13,5373.99
2018-08-14,5333.78
2018-08-15,5333.78
2018-08-16,5318.69
2018-08-17,5271.27
2018-08-18,5271.27
2018-08-19,5271.27
2018-08-20,5240.01
2018-08-21,5236.54
2018-08-22,5248.67
2018-08-23,5244.66
2018-08-24,5264.2
2018-08-25,5264.2
2018-08-26,5264.2
2018-08-27,5244.66
2018-08-28,5295.45
2018-08-29,5275.91
2018-08-30,5258.12
2018-08-31,5230.77
2018-09-01,5230.77
2018-09-02,5230.77
2018-09-03,5230.77
2018-09-04,5234.32
2018-09-05,5261.67
2018-09-06,5242.13
2018-09-07,5234.32
2018-09-08,5234.32
2018-09-09,5234.32
2018-09-10,5230.41
2018-09-11,5222.71
2018-09-12,5222.71
2018-09-13,5243.56
2018-09-14,5276.17
2018-09-15,5276.17
2018-09-16,5276.17
2018-09-17,5256.63
2018-09-18,5233.68
2018-09-19,5257.54
2018-09-20,5262.16
2018-09-21,5262.16
2018-09-22,5262.16
2018-09-23,5262.16
2018-09-24,5262.16
2018-09-25,5262.16
2018-09-26,5272.57
2018-09-27,5468.17
2018-09-28,5468.17
2018-09-29,5468.17
2018-09-30,5468.17
2018-10-01,5468.17
2018-10-02,5457.76
2018-10-03,5457.76
2018-10-04,5445.74
2018-10-05,5445.74
2018-10-06,5445.74
2018-10-07,5445.74
2018-10-08,5316.65
2018-10-09,5284.07
2018-10-10,5293.21
2018-10-11,5272.63
2018-10-12,5264.61
2018-10-13,5264.61
2018-10-14,5264.61
2018-10-15,5244.59
2018-10-16,5246.7
2018-10-17,5250.61
2018-10-18,5250.61
2018-10-19,5250.61
